Song Title,Offset,,Key,Composer,Year,Song with Key
You and the Night and the Music,674,674,C,Arthur Schwartz/Howard Dietz,1934,You and the Night and the Music (C)
You Are Too Beautiful,675,675,C,Richard Rodgers/Lorenz Hart,1932,You Are Too Beautiful (C)
You Don't Know What Love Is,676,676,C,Don Raye/Gene DePaul,1941,You Don't Know What Love Is (C)
You Go To My Head,677,677,C,J. Fred Coots/Haven Gillespie,1938,You Go To My Head (C)
You Make Me Feel So Young,678,678,C,Josef Myrow/Mack Gordon,1946,You Make Me Feel So Young (C)
You Must Believe in Spring,679,679,C,Michel Legrand/Alan & Marilyn Bergman,1967,You Must Believe in Spring (C)
You Say You Care,680,680,C,Leo Robin/Jule Styne,1949,You Say You Care (C)
You Stepped Out of a Dream,681,681,C,Gus Kahn/Nacio Herb Brown,1940,You Stepped Out of a Dream (C)
You Took Advantage of Me,682,682,C,Richard Rodgers/Lorenz Hart,1928,You Took Advantage of Me (C)
You Turned the Tables on Me,683,683,C,Sidney Mitchell/Louis Alter,1936,You Turned the Tables on Me (C)
You’d Be So Nice to Come Home To,684,684,C,Cole Porter,1942,You’d Be So Nice to Come Home To (C)
You’ll Never Know,685,685,C,Harry Warren/Mack Gordon,1943,You’ll Never Know (C)
Young and Foolish,686,686,C,Arnold B. Horwitt/Albert Hague,1954,Young and Foolish (C)
You’re My Everything,687,687,C,Mort Dixon/Joe Young/Harry Warren,1931,You’re My Everything (C)
Yours is My Heart Alone,688,688,C,Franz Lehar/Ludwig Herzer/Fritz Lohner/Harry B. Smith,1931,Yours is My Heart Alone (C)
You’ve Changed,689,689,C,Bill Carey/Carl Fischer,1942,You’ve Changed (C)
You've Never Been There,690,690,C,Johnny Griffin,1992,You've Never Been There (C)
Zingara,691,691,C,Antonio Carlos Jobim/Chico Buarque,1967,Zingara (C)
